"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16823889"	-0.636484751091534	7.09264132249229	-5.76193023271454	2.03675970224567e-07	2.83759889360455e-05	6.92649238154557	"MIR548H2"
"16861382"	0.478846906493281	10.3231941292656	5.75393476341108	2.10328317816882e-07	2.91273233901259e-05	6.89591356512503	NA
"16761514"	-1.23070555376017	4.9721770709064	-5.74642955500939	2.16767624422289e-07	2.98403860119897e-05	6.86722274901223	"TAS2R19"
"16693648"	-0.515927351968976	9.19139315361717	-5.74451769155761	2.18438808503829e-07	2.98925107944855e-05	6.85991611850518	NA
"16761511"	-0.88540610655805	5.46813630861148	-5.73773958965682	2.24466696388478e-07	3.05367134551549e-05	6.8340186465287	"TAS2R20"
"16812344"	0.545015082625136	9.65326154405985	5.73570608354694	2.26306922909361e-07	3.06070187492678e-05	6.82625113432799	"BCL2A1"
"17008673"	-0.551568502390404	6.42290308622928	-5.72159133729705	2.39496771962388e-07	3.22025688672916e-05	6.77236192813636	"LOC401261"
"16730591"	-0.361673564660802	5.14889540853138	-5.71573686707784	2.45187538517754e-07	3.27771803658965e-05	6.75002321439863	"DYNC2H1"
"16827570"	-1.34273644709479	5.48364962782767	-5.68999581487971	2.71832586834717e-07	3.61303002053248e-05	6.65189713306853	NA
"16994693"	-0.645675577663726	4.9591150046507	-5.68773774756092	2.74301837629769e-07	3.62501634220781e-05	6.64329657046909	NA
"16882821"	-1.06116041989829	5.34733819610475	-5.67863257748324	2.84484948549948e-07	3.7382292074515e-05	6.60862867685969	NA
"16871452"	0.443027777006136	7.6207454257483	5.67037928423573	2.94036881453564e-07	3.84191579512801e-05	6.57722101035692	"U2AF1L4"
"16926751"	-0.480133979247229	6.59132635405722	-5.65575915496987	3.11739781134885e-07	4.05034040354297e-05	6.52162377900325	NA
"16676150"	0.561773412623525	10.9872104957686	5.64676818412221	3.23144070980747e-07	4.15461521486366e-05	6.48745809928295	"BTG2"
"16687638"	-0.419853034565191	9.07007407573238	-5.64636328790074	3.23667212576828e-07	4.15461521486366e-05	6.48591994527735	"USP24"
"17019056"	0.502573792193051	10.6794543098759	5.64521550510259	3.25154734245826e-07	4.15461521486366e-05	6.48155986271226	"TREM1"
"16818204"	0.430331288348544	9.32965763018131	5.63873901077496	3.33675400026953e-07	4.23584913023458e-05	6.45696348048888	NA
"16840406"	-0.59971721200925	6.45655867978869	-5.63672535331454	3.36369202904842e-07	4.23584913023458e-05	6.44931806559842	NA
"16825548"	0.363294192492244	9.4127659505848	5.63625086944534	3.37007065318961e-07	4.23584913023458e-05	6.44751669561897	"CDIPT"
"16740563"	1.31290596682597	6.40688030220723	5.63178660037513	3.4306718983059e-07	4.28871075633084e-05	6.43057081047611	NA
"17002846"	0.671711011796754	11.9008765470548	5.62672559472751	3.50067334396691e-07	4.35269206590982e-05	6.41136555373491	"DUSP1"
"16959835"	-0.426545462319933	3.07022555765629	-5.62371982386641	3.54291207920538e-07	4.38165388533598e-05	6.39996231358838	NA
"17060478"	-0.758691741852924	7.56686758536446	-5.60765227622276	3.77736472434915e-07	4.64002771857896e-05	6.33904251057247	NA
"16776277"	-0.474517040657803	5.55536907325972	-5.60477242346025	3.82097324799523e-07	4.64002771857896e-05	6.32813021364508	NA
"16726439"	0.357254993218429	9.23032884689665	5.60412191139184	3.83089218048515e-07	4.64002771857896e-05	6.32566558184667	"PRDX5"
"17061859"	-0.421482929101044	5.15631254482889	-5.60296761126611	3.8485553054701e-07	4.64002771857896e-05	6.3212924733203	"IMMP2L"
"16787362"	-0.768919987744825	5.76434152800027	-5.60273373106645	3.85214390957392e-07	4.64002771857896e-05	6.32040644909807	NA
"17053393"	-0.581992098343695	8.73175629271131	-5.59980757004029	3.89732189660514e-07	4.67012246128431e-05	6.30932220144844	"GIMAP2"
"16731858"	-0.358882902799852	9.43438017268252	-5.59460918162038	3.97887266134519e-07	4.74326742468712e-05	6.28963594932921	"KMT2A"
"16827120"	0.493167361388283	6.52206522422705	5.58915058714274	4.06631510775196e-07	4.79989393558725e-05	6.26897141572474	"TK2"
"16972658"	-0.691863309170528	3.72910020332465	-5.58905379450777	4.06788261069357e-07	4.79989393558725e-05	6.26860505495823	NA
"16960801"	-0.619253466027152	5.75448248663791	-5.57803571061067	4.25026023959793e-07	4.98963292188738e-05	6.22691659227728	"PA2G4P4"
"17080747"	-0.686648655488344	5.22379333136812	-5.57548637870228	4.29359242240331e-07	5.01504605822835e-05	6.21727510179746	NA
"16673341"	-0.612440801768923	6.84669189090999	-5.56416262131596	4.49138622031076e-07	5.21971302096115e-05	6.17446847345927	NA
"17075920"	-0.61500205112272	6.35251860749599	-5.55629485838305	4.63407049106403e-07	5.3586074123419e-05	6.14474514023978	NA
"16768006"	-0.969984159868872	5.52465991293251	-5.54552912486722	4.83656765488771e-07	5.56494030619841e-05	6.1040987495723	"MIR618"
"17000724"	0.441665840316854	5.41062452025583	5.54393331384929	4.86731628586341e-07	5.57259523481005e-05	6.09807618652865	"HBEGF"
"16719149"	-0.45472461700458	8.77788795255562	-5.53969539683922	4.94991142988703e-07	5.63924146004913e-05	6.08208547313074	"C10orf88"
"16758130"	0.329268008027512	8.90309654945522	5.52718568221371	5.20185436244928e-07	5.89721989413551e-05	6.0349096710019	"ORAI1"
"16859824"	0.456199054161543	9.69232286605711	5.52533750023409	5.24013137402856e-07	5.91163503839797e-05	6.02794329278145	NA
"16804022"	-0.459464511697081	5.76065299903713	-5.5205310683779	5.34097873157136e-07	5.9961560740316e-05	6.00983040894976	NA
